ID,Supplier Name,Milk Type,Mobile No,Branch Id,Supplier Group,Bill Period,Rate Group
100037,William Thomas Cruz,Cow,8567412394,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100038,Adelaide Jane Coleman,Cow,8567412395,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100039,Dylan Christopher Gray,Cow,8567412396,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100040,Elsie Catherine Butler,Cow,8567412397,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100041,Adam Edward Ortiz,Cow,8567412398,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100042,Fiona Louise Cooper,Cow,8567412399,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100043,Jordan Patrick Wallace,Cow,8567412400,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100044,Sienna Caroline Foster,Cow,8567412401,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100045,Aaron Jameson Taylor,Cow,8567412402,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100046,Nora Elizabeth West,Cow,8567412403,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100047,David Patrick Hayes,Cow,8567412404,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100048,Leah Josephine Brown,Cow,8567412405,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100049,Caleb Alexander Kim,Cow,8567412406,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
100050,Hazel Grace Anderson,Cow,8567412407,WARANA-0008,Farmer,10,FEB_WARANA-Cow-2023-03-01
