ID,Supplier Name,Milk Type,Mobile No,Branch Id,Supplier Group,Bill Period,Rate Group
110025,Arundhati Vidya Srinivasan,Cow,9567412382,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110026,Arya Mohini Chakraborty,Cow,9567412383,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110027,Asha Rekha Menon,Cow,9567412384,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110028,Ashish Vijay Sharma,Cow,9567412385,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110029,Ashok Ramesh Patel,Cow,9567412386,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110030,Asmita Nisha Shah,Cow,9567412387,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110031,Avani Maya Nair,Cow,9567412388,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110032,Ayaan Kabir Khan,Cow,9567412389,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110033,Ayush Aditya Singh,Cow,9567412390,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110034,Bhavya Nalini Desai,Cow,9567412391,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110035,Chaitanya Sanjay Sharma,Cow,9567412392,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110036,Darsh Hemant Mehta,Cow,9567412393,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110037,Deepa Jyoti Gupta,Cow,9567412394,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110038,Devanshi Alia Patel,Cow,9567412395,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110039,Dhanraj Jayant Shah,Cow,9567412396,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110040,Dhruv Arvind Kumar,Cow,9567412397,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110041,Divya Meena Krishnan,Cow,9567412398,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110042,Ekta Smriti Singh,Cow,9567412399,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110043,Esha Radhika Iyer,Cow,9567412400,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110044,Gaurav Suresh Menon,Cow,9567412401,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110045,Geeta Kavya Nair,Cow,9567412402,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110046,Gopal Kamal Kumar,Cow,9567412403,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110047,Gopi Ramesh Gupta,Cow,9567412404,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110048,Gowri Kavya Nair,Cow,9567412405,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110049,Harish Mohan Lal,Cow,9567412406,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110050,Hemant Raghavendra Rao,Cow,9567412407,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110051,Hrithik Akshay Kumar,Cow,9567412408,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110052,Indira Lata Mukherjee,Cow,9567412409,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110053,Ishan Rajiv Shah,Cow,9567412410,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110054,Jai Suresh Menon,Cow,9567412411,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110055,Janhavi Kavita Shah,Cow,9567412412,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110056,Jatin Ravi Patel,Cow,9567412413,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110057,Jayant Pranav Menon,Cow,9567412414,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110058,Jyoti Renuka Sharma,Cow,9567412415,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110059,Kajal Nidhi Singh,Cow,9567412416,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110060,Kavya Nisha Nair,Cow,9567412417,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110061,Keerti Nandini Gupta,Cow,9567412418,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110062,Khushi Priya Patel,Cow,9567412419,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110063,Kiran Rohini Nair,Cow,9567412420,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110064,Kirti Pooja Gupta,Cow,9567412421,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110065,Komal Shweta Singh,Cow,9567412422,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110066,Kunal Rajat Kapoor,Cow,9567412423,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110067,Lakshmi Sarika Iyer,Cow,9567412424,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110068,Lata Rajni Mukherjee,Cow,9567412425,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110069,Madhavi Rohini Nair,Cow,9567412426,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110070,Mahesh Yash Patel,Cow,9567412427,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110071,Manav Gaurav Sharma,Cow,9567412428,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110072,Manisha Nandini Gupta,Cow,9567412429,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110073,Mansi Jaya Shah,Cow,9567412430,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110074,Meena Radha Krishnan,Cow,9567412431,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110075,Meera Renuka Sharma,Cow,9567412432,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110076,Mohan Raghavendra Rao,Cow,9567412433,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110077,Nalini Sudha Desai,Cow,9567412434,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110078,Namrata Jyoti Gupta,Cow,9567412435,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110079,Neha Shweta Singh,Cow,9567412436,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110080,Nikhil Arjun Menon,Cow,9567412437,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110081,Nisha Smita Shah,Cow,9567412438,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110082,Nithya Radha Iyer,Cow,9567412439,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110083,Padmini Uma Iyer,Cow,9567412440,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110084,Parth Rohit Patel,Cow,9567412441,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110085,Pavitra Tara Nair,Cow,9567412442,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110086,Prachi Nandini Desai,Cow,9567412443,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110087,Pradeep Anil Kumar,Cow,9567412444,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110088,Pranav Sushant Shah,Cow,9567412445,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110089,Pranay Shubham Gupta,Cow,9567412446,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110090,Prasanna Rajan Menon,Cow,9567412447,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110091,Pratiksha Kavita Shah,Cow,9567412448,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110092,Priyanka Rashi Singh,Cow,9567412449,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110093,Raghav Sanjeev Kapoor,Cow,9567412450,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110094,Rahul Naveen Singh,Cow,9567412451,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110095,Raj Kiran Sharma,Cow,9567412452,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110096,Rajan Kumar Gupta,Cow,9567412453,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110097,Rakesh Vikram Singh,Cow,9567412454,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110098,Rhea Nandini Shah,Cow,9567412455,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110099,Rohan Devang Patel,Cow,9567412456,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
110100,Rohini Padma Nair,Cow,9567412457,KRISHNA-0007,Farmer,10,FEB_KRISHNA-Cow-2023-03-01
